title,adult,id,original_language,popularity,release_date,vote_count,vote_average,primary_genre
Wicked,False,402431,en,244.434,2024-11-20,0,0.0,Drama
Zootopia,False,269149,en,241.989,2016-02-11,16239,7.8,Animation
Avengers: Infinity War,False,299536,en,241.938,2018-04-25,29670,8.2,Adventure
Barbie,False,346698,en,241.25,2023-07-19,9096,7.007,Comedy
A Different Man,False,989662,en,237.783,2024-08-24,43,7.4,Comedy
Civil War,False,929590,en,236.838,2024-04-10,2725,6.909,War
10 Lives,False,567811,en,234.136,2024-04-18,131,8.069,Animation
The Conjuring,False,138843,en,233.568,2013-07-18,11484,7.5,Horror
The Convert,False,1066262,en,233.152,2024-03-14,93,6.2,Action
Kill,False,1160018,hi,232.583,2024-07-03,228,7.1,Action
Home Alone 2: Lost in New York,False,772,en,229.732,1992-11-15,9500,6.7,Comedy
Bangkok Breaking: Heaven and Hell,False,1337309,th,229.729,2024-09-26,42,6.6,Action
The Godfather,False,238,en,228.96,1972-03-14,20572,8.69,Drama
LEGO Marvel Avengers: Mission Demolition,False,1359227,en,228.787,2024-10-17,52,7.0,Animation
Guardians of the Galaxy Vol. 3,False,447365,en,226.486,2023-05-03,6820,8.0,Science Fiction
The Grinch,False,360920,en,226.083,2018-11-08,3882,6.9,Animation
"The Tunnel to Summer, the Exit of Goodbyes",False,916192,ja,225.027,2022-09-09,165,7.7,Animation
Classified,False,1124641,en,224.781,2024-09-19,36,5.0,Action
Trouble,False,1210794,sv,224.146,2024-10-02,113,6.8,Action
Wolfs,False,877817,en,223.975,2024-09-20,690,6.6,Comedy
The Devil's Bath,False,931944,de,218.482,2024-03-08,54,6.8,Horror
Intercambiadas,False,1362961,es,218.138,2024-09-27,17,7.941,Comedy
Santet Segoro Pitu,False,1269108,id,217.661,2024-11-07,2,6.0,Horror
Fast X,False,385687,en,217.316,2023-05-17,5550,7.1,Action
An Ideal Father,False,1219685,fr,216.681,2024-04-21,99,6.333,Drama
Doctor Strange in the Multiverse of Madness,False,453395,en,216.427,2022-05-04,9103,7.3,Fantasy
Twilight of the Warriors: Walled In,False,923667,cn,175.936,2024-04-23,214,6.6,Action
Family Pack,False,1091181,fr,166.932,2024-10-22,259,5.687,Adventure
Hidden,False,360784,en,146.514,2015-09-15,1002,6.9,Thriller
Top Gun: Maverick,False,361743,en,175.403,2022-05-21,9172,8.202,Action
Culpa Tuya,False,1156593,es,190.51,2024-12-26,0,0.0,Drama
The Little Mermaid,False,447277,en,145.442,2023-05-18,2906,6.3,Adventure
Transformers: Rise of the Beasts,False,667538,en,214.738,2023-06-06,4583,7.3,Science Fiction
Anora,False,1064213,en,204.815,2024-10-11,190,7.5,Drama
Saving Bikini Bottom: The Sandy Cheeks Movie,False,831815,en,166.3,2024-10-18,29,6.8,Animation
Harry Potter and the Philosopher's Stone,False,671,en,190.219,2001-11-16,27325,7.914,Adventure
Harry Potter and the Half-Blood Prince,False,767,en,160.977,2009-07-15,19342,7.692,Adventure
"Miraculous World: Paris, Tales of Shadybug and Claw Noir",False,1147400,fr,179.947,2023-10-21,508,7.192,Animation
Blood for Dust,False,1025596,en,183.228,2024-04-19,48,5.7,Action
The Shawshank Redemption,False,278,en,212.057,1994-09-23,27084,8.707,Drama
We Live in Time,False,1100099,en,198.571,2024-10-10,40,8.0,Romance
John Wick: Chapter 4,False,603692,en,184.266,2023-03-22,6475,7.734,Action
Harold and the Purple Crayon,False,826510,en,153.611,2024-07-31,185,7.0,Family
Look Back,False,1244492,ja,281.432,2024-06-28,83,7.8,Animation
Exorcism in Utero,False,1122504,en,141.437,2023-05-23,15,6.1,Horror
Dune: Part Two,False,693134,en,192.15,2024-02-27,5546,8.151,Science Fiction
Come Into My Life,False,1294931,es,163.675,2024-07-11,5,7.2,Comedy
Pedro Páramo,False,1069387,es,271.52,2024-09-12,22,6.886,Drama
Busty Girlfriend,False,587727,ko,210.914,2019-03-08,11,6.955,Romance
The Super Mario Bros. Movie,False,502356,en,157.574,2023-04-05,9102,7.646,Animation
Encanto,False,568124,en,268.372,2021-10-13,9421,7.6,Animation
Descendants: The Rise of Red,False,974262,en,165.561,2024-07-11,360,7.0,Fantasy
