title,adult,id,original_language,popularity,release_date,vote_count,vote_average,primary_genre
American Hustle,False,168672,en,28.678,2013-12-03,7209,6.9,Drama
Halloween: The Curse of Michael Myers,False,10987,en,28.677,1995-09-29,1099,5.2,Horror
Lake Placid 3,False,44037,en,28.674,2010-08-21,231,5.1,Horror
Before the Devil Knows You're Dead,False,7972,en,28.665,2007-09-26,1464,7.1,Crime
Death Sentence,False,11835,en,28.661,2007-08-31,1128,6.8,Action
Cool Runnings,False,864,en,28.65,1993-10-01,2017,6.995,Comedy
Momentum,False,346808,en,28.647,2015-10-15,529,5.7,Action
The Killing of a Sacred Deer,False,399057,en,28.645,2017-10-20,3943,7.03,Drama
Pooh's Heffalump Movie,False,13682,en,28.64,2005-02-11,443,6.8,Family
Lady Vengeance,False,4550,ko,28.639,2005-07-29,1646,7.5,Drama
Tuesday,False,831395,en,28.638,2024-06-07,62,6.9,Fantasy
Knuckledust,False,749407,en,28.636,2020-12-08,32,5.0,Action
Ranma ½: The Movie 3 — The Super Non-Discriminatory Showdown: Team Ranma vs. the Legendary Phoenix,False,82386,ja,28.635,1994-08-20,66,7.7,Animation
Once Were Warriors,False,527,en,28.634,1994-09-02,421,7.4,Drama
The Devil's Rejects,False,1696,en,28.631,2005-07-22,1402,6.7,Drama
M*A*S*H,False,651,en,28.631,1970-02-18,1018,6.961,Comedy
Kidnap,False,293768,en,28.627,2017-06-16,1277,6.2,Drama
District 13: Ultimatum,False,15357,fr,28.62,2009-02-18,1150,6.403,Action
Kickboxer,False,10222,en,28.617,1989-04-20,1389,6.809,Action
The Pit and the Pendulum,False,28501,en,28.615,1961-08-12,327,6.9,Horror
Life,False,395992,en,28.612,2017-03-22,7300,6.4,Horror
Black Water: Abyss,False,522444,en,28.61,2020-07-09,428,5.162,Horror
Bad Teacher,False,52449,en,28.599,2011-05-16,4636,5.6,Comedy
Steel Magnolias,False,10860,en,28.599,1989-11-15,648,7.19,Comedy
Alien Code,False,529358,en,28.592,2017-04-23,61,5.5,Science Fiction
The Big Boss,False,12481,zh,28.592,1971-10-23,728,7.1,Action
Hoodwinked!,False,10982,en,28.586,2005-12-16,1734,6.225,Animation
Network,False,10774,en,28.581,1976-11-14,1709,7.81,Drama
Family Business,False,10551,en,28.579,1989-12-06,238,5.7,Crime
Love and Monsters,False,590223,en,28.575,2020-10-16,3992,7.3,Comedy
Beautiful Creatures,False,109491,en,28.569,2013-02-13,2819,6.0,Fantasy
Barbershop,False,10611,en,28.569,2002-04-01,464,6.4,Comedy
We Are Still Here,False,291272,en,28.568,2015-06-05,468,5.6,Horror
Palm Trees in the Snow,False,274109,es,28.563,2015-12-25,526,7.4,Drama
The Ledge,False,63493,en,28.559,2011-05-06,342,6.1,Drama
Tante Siska Part 3,True,1149824,id,28.551,2023-06-30,1,8.0,Drama
The Day of the Bricklayers,False,149974,es,28.543,1982-01-13,15,5.7,Comedy
Navy Seals,False,427910,en,28.537,1990-07-20,230,5.3,Action
Invisible Sister,False,360605,en,28.536,2015-12-10,295,6.7,Fantasy
Cliffhanger,False,9350,en,28.533,1993-05-28,2344,6.5,Action
Welcome Home Roscoe Jenkins,False,13490,en,28.524,2008-02-08,279,6.0,Comedy
Mamífera,False,1229955,ca,28.523,2024-04-26,12,6.8,Comedy
Internal Affairs,False,11060,en,28.52,1990-01-12,381,6.3,Crime
The Gods Must Be Crazy II,False,11937,en,28.516,1989-07-01,471,7.0,Action
Rape Zombie: Lust of the Dead 5,False,356085,ja,28.511,2014-09-03,72,7.2,Horror
James and the Giant Peach,False,10539,en,28.51,1996-04-12,1305,6.6,Adventure
Sniper: Ghost Shooter,False,407375,en,28.509,2016-08-02,244,6.3,Action
Tremors: A Cold Day in Hell,False,496704,en,28.504,2018-05-01,403,5.9,Action
On the Waterfront,False,654,en,28.493,1954-06-22,1554,7.9,Crime
ATM,False,89691,en,28.491,2012-02-17,598,5.1,Horror
The Corruption,False,144069,it,28.489,1986-04-17,31,5.1,Drama
Maharaja,False,1118224,ta,28.485,2024-06-14,88,8.1,Action
Bliss,False,63945,en,28.483,1997-04-14,59,5.5,Drama
Dead Talents Society,False,1006724,zh,28.482,2024-08-07,7,7.3,Horror
Return of Special Forces 5,False,865921,zh,28.481,2021-07-10,17,6.206,Action
Thawing Out,False,73881,fr,28.481,2009-01-31,35,5.8,Comedy
Black Water,False,454615,en,28.469,2018-05-18,242,5.6,Action
A.R.M,False,890138,ml,28.467,2024-09-12,5,5.8,Action
Mortal Kombat,False,9312,en,28.465,1995-08-18,2249,5.8,Action
Tekken,False,42194,en,28.464,2010-03-20,674,5.4,Crime
Species II,False,10216,en,28.462,1998-04-10,701,5.2,Science Fiction
Fascination,False,29562,fr,28.46,1979-11-01,94,6.1,Horror
Escape to Victory,False,17360,en,28.455,1981-06-17,905,6.9,Drama
Big Momma's House,False,9600,en,28.451,2000-05-31,2278,5.8,Crime
Assimilate,False,528985,en,28.45,2019-05-24,268,6.4,Horror
Marvel One-Shot: Item 47,False,119569,en,28.447,2012-08-29,537,6.446,Science Fiction
The Man in the Iron Mask,False,9313,en,28.443,1998-03-12,3783,6.6,Adventure
Camp Rock,False,13655,en,28.441,2008-06-20,2073,6.404,Music
Nomadland,False,581734,en,28.439,2021-01-29,2955,7.2,Drama
Tusk,False,246403,en,28.438,2014-09-19,1384,5.5,Comedy
Diamonds Are Forever,False,681,en,28.434,1971-12-14,2075,6.391,Action
Gini Mal Pokuru,False,1050922,en,28.43,2021-12-03,0,0.0,Crime
The Last House on the Left,False,18405,en,28.428,2009-03-13,1741,6.5,Crime
The Endless,False,430231,en,28.427,2017-11-05,1073,6.3,Science Fiction
Hellraiser: Hellseeker,False,11246,en,28.42,2002-10-15,343,5.0,Horror
One Piece: Adventure of Nebulandia,False,373879,ja,28.417,2015-12-20,195,7.8,Action
Les Misérables,False,4415,en,28.416,1998-05-01,617,7.192,Crime
The Calling,False,283384,en,28.413,2014-08-05,205,5.8,Thriller
The Monkey,False,1124620,en,28.412,2025-02-19,0,0.0,Horror
My Cousin Sister,False,505283,ko,28.409,2019-06-03,1,3.0,Romance
Night Patrol,False,73621,en,28.407,1984-11-16,27,4.365,Comedy
Leprechaun: Origins,False,126172,en,28.406,2014-08-22,235,4.5,Horror
The Pelican Brief,False,9944,en,28.403,1993-09-17,1546,6.593,Thriller
UglyDolls,False,454458,en,28.402,2019-05-01,432,6.6,Animation
Batman: Gotham Knight,False,13851,en,28.399,2008-07-08,682,6.7,Science Fiction
China Dolls,False,172760,cn,28.397,1992-01-01,5,5.1,Comedy
Someone Like You...,False,12658,en,28.396,2001-03-30,378,5.978,Comedy
"Lyle, Lyle, Crocodile",False,830784,en,28.393,2022-10-07,570,7.0,Comedy
Ashfall,False,581387,ko,28.393,2019-12-19,568,6.803,Action
"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom",False,44731,ja,28.389,2008-03-01,135,7.074,Action
Superman II,False,8536,en,28.389,1980-12-12,2236,6.7,Science Fiction
Eye in the Sky,False,333352,en,28.382,2015-09-07,1548,7.0,Drama
In Dreams,False,28902,en,28.379,1999-01-15,176,5.4,Mystery
Heathers,False,2640,en,28.377,1989-03-31,1676,7.3,Comedy
Anchorman: The Legend of Ron Burgundy,False,8699,en,28.376,2004-06-28,4125,6.709,Comedy
Hard Ticket to Hawaii,False,26011,en,28.365,1987-03-01,110,5.155,Action
The Witcher: Nightmare of the Wolf,False,666243,en,28.357,2021-08-22,941,7.5,Animation
Local Hero,False,11235,en,28.351,1983-02-17,337,6.714,Comedy
Merry Little Batman,False,870358,en,28.35,2023-12-08,132,6.674,Animation
The Life and Times of Judge Roy Bean,False,33638,en,28.349,1972-12-18,144,6.5,Western
Cutthroat Island,False,1408,en,28.343,1995-12-22,539,5.8,Action
21 Bridges,False,535292,en,28.336,2019-10-24,1939,6.8,Crime
Lolita,False,802,en,28.336,1962-06-13,2040,7.333,Drama
The Horse Whisperer,False,547,en,28.332,1998-02-01,1090,6.9,Adventure
You Only Live Once,False,52758,en,28.323,1937-01-23,165,7.1,Crime
Countdown,False,599975,en,28.321,2019-10-24,2097,6.3,Horror
Martyrs,False,362057,en,28.321,2015-10-09,292,5.1,Horror
The Lobster,False,254320,en,28.317,2015-10-15,6170,7.0,Comedy
Hell Hole,False,1287850,en,28.316,2024-07-29,26,5.3,Horror
Ray Charles - Live in France 1961,False,649788,en,28.311,2011-10-20,73,7.2,Music
Payback,False,2112,en,28.308,1999-02-05,1774,6.8,Action
There's Something About Mary,False,544,en,28.307,1998-07-15,4896,6.6,Romance
Shutter,False,10885,en,28.301,2008-03-21,723,5.5,Horror
Into the Woods,False,224141,en,28.295,2014-12-24,4218,5.8,Fantasy
Sex Stories,False,422585,es,28.293,1999-01-01,8,7.2,Drama
Side Effects,False,109421,en,28.293,2013-02-07,3052,6.6,Thriller
How to Date Billy Walsh,False,1017633,en,28.291,2024-04-04,145,6.4,Romance
Groot's First Steps,False,1010818,en,28.283,2022-08-10,338,7.0,Animation
Satan Kingdom Babylon,False,1313326,en,28.279,2024-11-12,0,0.0,Documentary
Place of Bones,False,1080249,en,28.277,2024-08-23,15,6.0,Western
The Box,False,22825,en,28.272,2009-10-29,1746,5.6,Thriller
Sleeping With My Student,False,644682,en,28.267,2019-10-18,18,5.7,Thriller
Fracture,False,6145,en,28.263,2007-04-19,3864,7.3,Thriller
Richie Rich's Christmas Wish,False,73961,en,28.258,1998-10-21,96,4.8,Family
Justice League: The New Frontier,False,14011,en,28.258,2008-02-26,504,6.8,Action
Cyrano de Bergerac,False,43386,en,28.253,1950-11-16,60,6.9,Romance
The X Files: I Want to Believe,False,8836,en,28.25,2008-07-24,1485,5.8,Mystery
The Ninth Gate,False,622,en,28.246,1999-08-25,2978,6.5,Mystery
The Dead Don't Hurt,False,1032425,en,28.241,2024-05-01,107,6.4,Western
Holidate,False,615665,en,28.235,2020-10-27,2154,7.0,Comedy
Hoodwinked Too! Hood VS. Evil,False,57089,en,28.232,2011-04-29,535,5.1,Comedy
Emanuelle Around the World,False,28325,it,28.226,1977-09-16,53,5.7,Adventure
Club Dread,False,11217,en,28.22,2004-02-27,362,5.214,Comedy
Zoey 102,False,1073170,en,28.206,2023-07-27,174,6.888,Romance
Humanoids from the Deep,False,29343,en,28.203,1980-05-01,221,5.7,Horror
Triple 9,False,146198,en,28.2,2016-02-19,2107,6.0,Action
Mean Girls 2,False,51481,en,28.193,2011-01-23,1222,5.2,Comedy
Thick as Thieves,False,14979,en,28.193,2009-01-09,776,6.0,Action
Kiss of the Dragon,False,2140,en,28.191,2001-07-06,1179,6.866,Action
The Courier,False,522241,en,28.188,2020-01-24,1115,7.1,Thriller
Scooby-Doo! and the Witch's Ghost,False,17681,en,28.183,1999-10-05,430,7.4,Animation
The Night Before Enlisting,False,391423,ko,28.182,2016-04-05,1,6.0,Romance
Trick,False,628707,en,28.179,2019-10-18,144,5.854,Thriller
Tidal Wave,False,33196,ko,28.174,2009-07-22,453,6.9,Action
The Green Inferno,False,90164,it,28.167,1988-05-01,38,5.3,Adventure
Battlestar Galactica: The Plan,False,105077,en,28.164,2009-10-27,422,6.736,Science Fiction
The Intruder,False,524247,en,28.158,2019-05-03,568,6.1,Thriller
Chinatown,False,829,en,28.157,1974-06-20,3791,7.9,Crime
The Jesus Rolls,False,429416,en,28.153,2019-10-17,143,4.486,Comedy
Calculator,False,316269,ru,28.152,2014-12-18,143,4.9,Thriller
The Loud House Movie,False,410113,en,28.149,2021-08-20,178,7.3,Animation
Scent of a Woman,False,9475,en,28.145,1992-12-23,3362,7.791,Drama
"My Teacher, My Obsession",False,530442,en,28.143,2018-06-12,95,5.1,Drama
The Stanford Prison Experiment,False,308032,en,28.142,2015-07-17,923,6.859,Thriller
Night Teeth,False,669671,en,28.14,2021-10-20,768,6.401,Horror
BloodRayne: The Third Reich,False,12685,en,28.134,2010-06-10,214,3.9,Action
13,False,44982,en,28.132,2010-03-12,799,5.8,Drama
RED,False,39514,en,28.132,2010-10-13,6645,6.702,Action
Over Her Dead Body,False,13160,en,28.129,2008-02-01,451,5.5,Comedy
"Man, Woman & the Wall",False,40172,ja,28.128,2006-10-30,32,6.5,Drama
Jacob's Ladder,False,2291,en,28.127,1990-11-02,1625,7.4,Drama
2022 Rock & Roll Hall of Fame Induction Ceremony,False,1050238,en,28.122,2022-11-19,5,8.8,Music
The Beast,False,44132,fr,28.12,1975-08-20,158,5.437,Drama
Sly,False,1146302,en,28.115,2023-09-16,168,7.3,Documentary
The Saint of Second Chances,False,1115128,en,28.105,2023-06-11,15,6.9,Documentary
Obsession,False,332672,nl,28.104,2015-06-04,206,6.4,Romance
10 Days of a Good Man,False,1073337,tr,28.102,2023-02-10,83,6.6,Crime
Streets of Fire,False,14746,en,28.102,1984-06-01,486,6.9,Action
Soylent Green,False,12101,en,28.101,1973-04-18,1248,6.9,Science Fiction
The Wrath of Becky,False,986070,en,28.098,2023-05-26,323,6.3,Action
Instant Family,False,491418,en,28.09,2018-11-13,2933,7.522,Comedy
Justice League: Doom,False,76589,en,28.088,2012-02-28,852,7.4,Action
Father of the Bride,False,11846,en,28.077,1991-12-20,1337,6.464,Comedy
The Air He Breathes,False,1291932,en,28.075,2024-08-22,4,7.5,Drama
Halloween II,False,24150,en,28.074,2009-08-28,1391,5.3,Horror
Two Mules for Sister Sara,False,11916,en,28.072,1970-03-02,564,6.933,Western
Taming The Younger Sister-in-Law,False,784941,ko,28.057,2020-12-11,7,6.1,Drama
Born to Race,False,74523,en,28.056,2011-03-19,206,6.9,Action
Snow White and the Huntsman,False,58595,en,28.047,2012-05-30,7830,6.0,Adventure
The Sandlot,False,11528,en,28.042,1993-04-07,1151,7.5,Family
Blood Father,False,309886,en,28.041,2016-08-11,1514,6.2,Action
Mac & Devin Go to High School,False,104859,en,28.04,2012-07-03,415,6.504,Comedy
Half Baked: Totally High,False,1258526,en,28.035,2024-07-03,6,7.3,Comedy
Hardbodies,False,52736,en,28.034,1984-05-04,55,5.0,Comedy
Dear Evan Hansen,False,567690,en,28.033,2021-09-24,323,6.3,Drama
Dragonball Evolution,False,14164,en,28.032,2009-03-12,2028,2.9,Action
My Little Pony: The Movie,False,335360,en,28.031,2017-10-05,373,7.2,Family
Sweet & Sour,False,662237,ko,28.029,2021-06-04,182,7.8,Drama
When the Wind Blows,False,10857,en,28.029,1986-10-24,270,7.4,Animation
Bicentennial Man,False,2277,en,28.027,1999-12-17,3590,7.254,Science Fiction
Pinocchio,False,532639,en,28.024,2022-09-07,1572,6.346,Fantasy
Cold War,False,440298,pl,28.024,2018-06-08,1453,7.5,Romance
Drifter,False,1025802,de,28.022,2023-11-02,8,5.5,Drama
Looney Tunes: Back in Action,False,10715,en,28.021,2003-11-14,1490,6.355,Animation
The Colony,False,178809,en,28.014,2013-04-12,1124,5.4,Action
New Gods: Nezha Reborn,False,663558,zh,28.008,2021-02-06,412,8.1,Animation
Run All Night,False,241554,en,28.005,2015-03-11,2769,6.4,Action
What's Love Got to Do with It,False,15765,en,28.003,1993-06-09,313,7.1,Drama
Tales from the Crypt: Demon Knight,False,9059,en,28.003,1995-01-13,483,6.9,Horror
A Return to Salem's Lot,False,27740,en,28.002,1987-09-11,282,6.0,Horror
Friday the 13th: The Final Chapter,False,9730,en,27.999,1984-04-13,1299,6.1,Horror
Miss Marple: The Murder at the Vicarage,False,293879,en,27.997,1986-12-25,47,6.6,Mystery
Savage Beach,False,67394,en,27.996,1989-10-01,51,4.6,Action
One Piece: The Movie,False,19576,ja,27.989,2000-03-04,332,7.1,Action
Sense and Sensibility,False,4584,en,27.987,1995-12-13,1664,7.423,Drama
The Rock,False,9802,en,27.985,1996-06-07,4630,7.129,Action
Personal Effects,False,14857,en,27.983,2009-03-05,123,5.9,Drama
Making The Witcher,False,736759,en,27.978,2020-08-26,83,7.1,Documentary
Day of the Woman,False,25239,en,27.976,1978-11-02,622,6.0,Horror
Dirty Rotten Scoundrels,False,10141,en,27.961,1988-12-14,855,7.1,Crime
Tigerland,False,10687,en,27.957,2000-10-06,551,6.6,Drama
The Circle,False,339988,en,27.956,2017-04-27,4371,5.5,Drama
Delicious,False,745611,fr,27.954,2021-09-08,260,6.9,History
Frankenstein,False,3035,en,27.954,1931-11-21,1566,7.5,Drama
A Man Called Ove,False,348678,sv,27.952,2015-12-25,1134,7.6,Comedy
Sorority Row,False,26688,en,27.95,2009-09-09,555,5.5,Horror
Cabrini,False,975056,en,27.946,2024-03-07,84,7.75,History
All About Sex,False,802119,en,27.93,2020-01-16,34,6.1,Comedy
Robin Hood,False,375588,en,27.922,2018-11-03,2945,5.9,Adventure
The Piano Teacher,False,1791,fr,27.922,2001-09-05,1092,7.3,Drama
Ip Man: The Awakening,False,875104,zh,27.909,2021-09-16,158,6.9,Action
The Love Bug,False,14136,en,27.909,1968-12-23,582,6.5,Comedy
Species: The Awakening,False,15212,en,27.906,2007-10-02,256,4.7,Horror
Tomboy,False,65229,fr,27.896,2011-04-20,682,7.304,Drama
Vanilla Sky,False,1903,en,27.894,2001-12-14,4110,6.8,Science Fiction
Cold Creek Manor,False,12767,en,27.892,2003-09-19,483,5.381,Mystery
Silent Bite,False,1337886,en,27.891,2024-11-12,0,0.0,Horror
The Dirty Dozen,False,1654,en,27.891,1967-06-15,1182,7.6,Action
Jackass Forever,False,656663,en,27.889,2022-02-01,769,6.8,Comedy
Scrooge: A Christmas Carol,False,1001865,en,27.888,2022-11-18,420,6.8,Animation
Renaissance Man,False,11858,en,27.888,1994-06-03,292,6.1,Comedy
The Outpost,False,531876,en,27.886,2020-06-24,1032,6.9,War
Shark Bait,False,960258,en,27.884,2022-05-13,322,5.7,Horror
Accident,False,74544,en,27.88,1967-02-09,102,6.2,Romance
Flower,False,421471,en,27.879,2017-03-16,256,6.348,Comedy
Mr. Jones,False,509598,en,27.871,2019-10-03,396,6.8,Thriller
Jason and the Argonauts,False,11533,en,27.871,1963-06-19,597,7.2,Adventure
Good Kids,False,352186,en,27.869,2016-07-29,306,6.3,Comedy
Pandemic,False,346651,en,27.863,2016-02-26,346,5.079,Action
My Sister-in-law's Secret,False,671622,ko,27.859,2019-12-20,9,6.2,Romance
Survival of the Dead,False,29426,en,27.853,2010-05-06,447,4.9,Horror
Rabid,False,29437,en,27.851,1977-04-08,489,6.4,Horror
A Most Wanted Man,False,157849,en,27.85,2014-07-25,1338,6.5,Thriller
Green Lantern: Beware My Power,False,887357,en,27.846,2022-05-19,215,6.8,Animation
Piggy,False,848058,es,27.845,2022-10-07,591,6.6,Horror
Zodiac,False,285135,en,27.843,2014-08-16,89,3.9,Science Fiction
Apartment Wife: Affair In the Afternoon,False,143440,ja,27.842,1971-11-20,2,5.0,Drama
Inside Out 2: A Special Look,False,1309983,en,27.837,2024-07-15,2,8.0,Animation
The Aftermath,False,433502,en,27.831,2019-03-01,653,6.5,War
Frankenhooker,False,27274,en,27.831,1990-06-01,298,6.2,Comedy
Confidential Informant,False,1070802,en,27.83,2023-06-27,120,5.8,Thriller
The Way of the Dragon,False,9462,cn,27.83,1972-12-30,1120,7.4,Action
House on Haunted Hill,False,15856,en,27.828,1959-01-01,521,6.8,Horror
Subway,False,10656,fr,27.826,1985-04-10,440,6.498,Action
Batman: The Doom That Came to Gotham,False,1003579,en,27.825,2023-03-10,201,6.6,Animation
Let Me Eat Your Pancreas,False,449132,ja,27.821,2017-07-28,89,6.8,Drama
Ride Along 2,False,323675,en,27.821,2016-01-14,1651,6.3,Action
The Coffee Table,False,1056380,es,27.819,2022-06-01,152,6.9,Horror
No Sudden Move,False,649409,en,27.818,2021-06-24,683,6.4,Crime
16 Wishes,False,40205,en,27.818,2010-10-02,1305,6.3,Fantasy
Police Story,False,9056,cn,27.818,1985-12-14,868,7.5,Action
Gloria,False,10889,en,27.815,1980-10-01,220,6.843,Crime
Splendor in the Grass,False,28569,en,27.812,1961-10-10,267,7.4,Drama
November Criminals,False,317091,en,27.81,2017-11-07,640,5.3,Crime
Critters 3,False,12702,en,27.807,1991-12-11,393,5.268,Comedy
From Beyond,False,14510,en,27.803,1986-10-24,550,6.5,Horror
America: The Motion Picture,False,739542,en,27.801,2021-06-30,236,5.7,Animation
La Abuela (The Grandmother),False,661791,es,27.798,2022-01-28,443,5.8,Drama
House of the Dead 2,False,29293,en,27.798,2006-02-11,118,4.6,Horror
Moonwalker,False,13192,en,27.796,1988-10-29,534,6.934,Fantasy
The Hunchback of Notre Dame II,False,12448,en,27.796,2002-02-06,792,5.4,Animation
3 Idiots,False,20453,hi,27.793,2009-12-23,2363,7.999,Drama
The Roommate,False,49950,en,27.79,2011-02-04,930,5.374,Thriller
The First Wives Club,False,2925,en,27.783,1996-09-20,740,6.7,Comedy
Zulu,False,14433,en,27.777,1964-01-22,507,7.4,Action
See How They Run,False,766475,en,27.769,2022-09-09,1067,6.4,Mystery
National Lampoon's European Vacation,False,11418,en,27.769,1985-07-25,854,6.2,Adventure
She-Devil,False,11157,en,27.763,1989-12-08,374,5.9,Comedy
The Sweetest Thing,False,11812,en,27.758,2002-04-12,1070,5.55,Romance
Through the Night,False,925124,fr,27.757,2023-12-13,16,6.2,Drama
Ender's Game,False,80274,en,27.757,2013-10-24,5766,6.593,Science Fiction
The Main Event,False,637157,en,27.756,2020-04-10,219,6.5,Family
Batman: Mystery of the Batwoman,False,21683,en,27.755,2003-10-21,387,6.6,Adventure
Dracula Untold,False,49017,en,27.754,2014-10-01,6025,6.4,Horror
RoboCop: Prime Directives,False,74236,en,27.748,2001-01-04,49,4.653,Action
Crawlspace,False,879538,en,27.747,2022-03-31,134,5.9,Thriller
Strange World,False,877269,en,27.739,2022-11-23,1239,6.3,Animation
K.G.F: Chapter 2,False,587412,kn,27.734,2022-04-14,148,7.4,Action
Tomcats,False,10646,en,27.734,2001-03-30,251,5.1,Comedy
Mortal Kombat: Annihilation,False,9823,en,27.732,1997-11-11,1176,4.5,Action
Jules,False,1072371,en,27.73,2023-08-10,250,7.2,Comedy
Sexual Predator,False,65364,en,27.73,2001-12-04,32,4.8,Drama
License to Drive,False,13704,en,27.728,1988-07-06,360,6.6,Comedy
The Story of O,False,4561,fr,27.726,1975-08-27,150,5.6,Drama
Ring of the Nibelungs,False,11188,en,27.723,2004-11-19,132,6.2,Action
The Princess Switch 3: Romancing the Star,False,785533,en,27.722,2021-11-18,413,6.8,Romance
Brooklyn,False,167073,en,27.717,2015-10-20,3067,7.314,Romance
Intercourse: Special Sister-In-Law,False,699172,ko,27.716,2019-11-07,1,1.0,Romance
That Malicious Age,False,288987,it,27.716,1975-03-11,73,6.61,Drama
13 Sins,False,155084,en,27.714,2014-04-11,1085,6.276,Horror
Shin Godzilla,False,315011,ja,27.713,2016-07-29,1286,7.2,Action
The Burning Plain,False,12165,en,27.689,2008-11-07,427,6.6,Drama
A Street Cat Named Bob,False,404378,en,27.688,2016-11-04,1424,7.913,Family
Bed Rest,False,917007,en,27.686,2023-02-10,219,6.247,Horror
CHiPS,False,417644,en,27.675,2017-03-23,1274,6.122,Action
Lady and the Tramp,False,512895,en,27.674,2019-11-12,1539,7.224,Family
The Grandmaster,False,44865,zh,27.671,2013-01-10,860,6.6,Action
Stand and Deliver,False,29154,en,27.669,1988-03-11,373,7.6,Drama
Remember,False,633374,ko,27.665,2022-10-26,86,7.541,Thriller
South Park: Joining the Panderverse,False,1190012,en,27.662,2023-10-28,198,7.7,Animation
1408,False,3021,en,27.662,2007-06-22,4382,6.7,Horror
From Hell,False,768,en,27.66,2001-02-08,2772,6.695,Horror
Sunod,False,638238,tl,27.654,2019-12-25,45,7.1,Horror
A Charlie Brown Thanksgiving,False,13479,en,27.654,1973-11-20,250,7.3,Animation
Superman/Batman: Apocalypse,False,45162,en,27.651,2010-09-28,691,7.15,Science Fiction
Winx Club - Magic Adventure,False,74658,it,27.648,2010-10-29,119,7.2,Animation
Hitch,False,8488,en,27.647,2005-02-11,5717,6.563,Comedy
The Unborn,False,13788,en,27.642,2009-01-09,1341,5.2,Horror
Oh My Ghost : The Finale,False,1216195,th,27.64,2024-03-14,7,5.929,Comedy
Rush,False,96721,en,27.636,2013-09-02,7069,7.7,Drama
Aces High,False,44630,en,27.633,1976-05-19,67,5.8,Action
The Channel,False,1140692,en,27.63,2023-07-14,49,6.3,Action
Les Misérables,False,4412,fr,27.63,1958-03-11,99,7.1,Drama
Hillbilly Elegy,False,592984,en,27.629,2020-11-09,901,6.7,Drama
Demolition,False,303991,en,27.629,2016-04-06,2179,6.8,Comedy
Doraemon the Movie: Nobita's Earth Symphony,False,1148677,ja,27.627,2024-03-01,11,7.2,Family
Viking Wolf,False,788752,no,27.623,2022-11-18,314,5.7,Horror
The 33D Invader,False,85877,zh,27.622,2011-10-06,24,5.6,Comedy
Tremors: Shrieker Island,False,670266,en,27.62,2020-10-20,205,6.1,Action
Sooryavanshi,False,592508,hi,27.617,2021-11-05,155,5.8,Action
Chupa,False,736790,en,27.615,2023-04-07,335,6.397,Adventure
Fear Street: 1978,False,591274,en,27.615,2021-07-08,1907,7.184,Horror
Like Water for Chocolate,False,1011397,en,27.601,2023-01-19,3,6.3,Family
Freaks – You're One of Us,False,658777,de,27.597,2020-09-02,333,5.6,Drama
Balkan Line,False,517093,ru,27.595,2019-03-21,512,7.5,Drama
Eat Pray Love,False,38167,en,27.595,2010-08-12,2413,6.237,Drama
The Seven-Per-Cent Solution,False,29578,en,27.594,1976-10-24,97,6.2,Mystery
100% Wolf,False,520946,en,27.593,2020-06-26,301,6.1,Animation
Somewhere in Time,False,16633,en,27.591,1980-10-02,567,7.512,Drama
Breaking,False,801965,en,27.585,2022-08-25,169,6.6,Crime
Free Fall,False,167581,de,27.584,2013-05-27,786,7.695,Drama
Billie Eilish: The World's a Little Blurry,False,654754,en,27.581,2021-02-26,295,8.3,Documentary
Trapped,False,9039,en,27.576,2002-09-20,555,6.2,Action
The Invitation,False,830788,en,27.575,2022-08-24,812,6.1,Horror
Son in Law,False,13203,en,27.574,1993-07-02,277,6.0,Comedy
Speak No Evil,False,833339,da,27.573,2022-03-17,804,6.6,Horror
The Wind That Shakes the Barley,False,1116,en,27.572,2006-06-23,799,7.4,Drama
I Believe,False,499338,en,27.569,2019-06-06,138,7.6,Family
Mine,False,345009,en,27.567,2016-10-06,1287,6.597,War
If Only,False,15775,en,27.567,2004-01-23,569,6.998,Fantasy
You'll Never Find Me,False,1117321,en,27.557,2024-03-07,109,6.165,Horror
Safe,False,72387,en,27.557,2012-04-16,2430,6.5,Action
Chaos,False,5289,en,27.555,2005-01-17,1031,6.3,Drama
Avengers Confidential: Black Widow & Punisher,False,257346,ja,27.551,2014-04-19,252,6.4,Animation
Solomon and Sheba,False,29996,en,27.55,1959-12-18,92,6.3,History
Lying and Stealing,False,509874,en,27.546,2019-07-12,351,5.9,Crime
Lawman,False,42500,en,27.545,1971-03-11,109,6.569,Western
The Swan Princess,False,22586,en,27.543,1994-11-18,949,6.6,Family
The Elfkins: Baking a Difference,False,638220,de,27.538,2019-10-08,47,6.5,Family
The Other Side of the Door,False,364116,en,27.538,2016-02-25,822,5.569,Thriller
Mike's New Car,False,13931,en,27.53,2002-05-24,696,6.9,Animation
Nutty Professor II: The Klumps,False,12107,en,27.514,2000-07-27,1295,5.0,Fantasy
You Shall Not Sleep Tonight,False,1265517,en,27.506,2024-08-01,16,7.7,Horror
Talladega Nights: The Ballad of Ricky Bobby,False,9718,en,27.506,2006-08-04,1657,6.4,Comedy
Blackout,False,759507,en,27.495,2022-10-12,145,5.1,Action
Cut Off,False,436387,de,27.495,2018-10-11,260,6.6,Thriller
The Initiation,False,63360,en,27.493,1984-12-07,90,5.6,Horror
Toby,False,1139698,kn,27.48,2023-08-25,3,8.3,Action
