id,title,original_title,release_date,overview,genre_ids,original_language,popularity,vote_average,vote_count,adult,genre_names
824003,Diabolik - Who Are You?,Diabolik chi sei?,2023-11-30,"Captured by a ruthless gang of bank robbers, foes Diabolik and Ginko find themselves facing certain death. While Eva Kant and Altea forge an unlikely alliance to rescue their lovers, Diabolik reveals his mysterious past to the Inspector.","[80, 28]",it,414.728,6.3,98,False,"['Crime', 'Action']"
1100782,Smile 2,Smile 2,2024-10-16,"About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.","[27, 9648]",en,394.218,6.9,303,False,"['Horror', 'Mystery']"
1011985,Kung Fu Panda 4,Kung Fu Panda 4,2024-03-02,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.","[16, 10751, 14, 28]",en,365.416,7.091,2682,False,"['Animation', 'Family', 'Fantasy', 'Action']"
1151949,The Shadow Strays,The Shadow Strays,2024-09-10,"Skilled in the art of killing, a young assassin defies her mentor to save a boy from a ruthless crime syndicate — and she'll destroy anyone in her path.","[28, 80, 53]",id,394.387,7.4,136,False,"['Action', 'Crime', 'Thriller']"
1140648,Double Blind,Double Blind,2024-02-09,"After an experimental drug trial goes awry, the test subjects face a terrifying side effect: if you fall asleep you die. Trapped in an isolated facility, panic ensues as they try to escape and somehow stay awake.","[878, 27, 53]",en,377.462,5.8,69,False,"['Science Fiction', 'Horror', 'Thriller']"
3933,Corpse Bride,Corpse Bride,2005-09-12,"In a 19th-century European village, a young man about to be married is whisked away to the underworld and wed to a mysterious corpse bride, while his real bride waits bereft in the land of the living.","[10749, 14, 16]",en,329.995,7.6,9252,False,"['Romance', 'Fantasy', 'Animation']"
748783,The Garfield Movie,The Garfield Movie,2024-04-30,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.","[16, 35, 10751, 12, 28]",en,355.993,7.1,1074,False,"['Animation', 'Comedy', 'Family', 'Adventure', 'Action']"
639720,IF,IF,2024-05-08,"After discovering she can see everyone's imaginary friends, a girl embarks on a magical adventure to reconnect forgotten imaginary friends with their kids.","[35, 14, 10751]",en,369.797,7.3,982,False,"['Comedy', 'Fantasy', 'Family']"
783110,Smugglers,밀수,2023-07-26,"Two women are unexpectedly caught up in a high-stakes smuggling scheme in a small, peaceful village by the sea in the 1970s.","[80, 28]",ko,328.818,6.6,46,False,"['Crime', 'Action']"
1329336,The Bad Guys: Haunted Heist,The Bad Guys: Haunted Heist,2024-10-02,The crafty Bad Guys crew embarks on a high-stakes Halloween heist to swipe a priceless amulet from a spooky mansion. What could go wrong?,"[16, 35]",en,313.232,7.3,78,False,"['Animation', 'Comedy']"
1255208,Bag of Lies,Bag of Lies,2024-03-29,"Desperate to save his dying wife, Matt turns to The Bag, an ancient relic with dark magic. The cure demands a chilling ritual and strict rules. As his wife heals, Matt's sanity unravels, facing terrifying consequences.","[27, 53]",en,341.713,6.0,24,False,"['Horror', 'Thriller']"
173705,Female Teacher: In Front of the Students,女教師 生徒の眼の前で,1982-04-09,"The lovely Reiko has taken a new teaching job at a creepy old high school.  She is an extremely attractive woman and the young students in her class have fallen for her.  One night, after tennis practice, she is brutally assaulted in the locker room shower by a man with a stocking over his face.  Left on the floor naked and in shock, she discovers a single puzzle piece left behind by the crazed man.  A few days later, a pair of students enact a perverted sexual revenge on Reiko for kicking someone off the tennis team.  Could one of these students be the man who brutalized her in the locker room?  Who owns the strange puzzle piece?  As the mystery unfolds, Reiko must come to terms with her own sexual urges and fate.","[18, 9648, 27]",ja,511.852,7.0,14,False,"['Drama', 'Mystery', 'Horror']"
